Wavenumber,Intensity,Wavenumber,Intensity
cm⁻¹,a.u.,,
,As Deposited,,UV
820.576,0.09026,720.28862,0.28035
821.0582,0.09104,720.77075,0.27432
821.5403,0.09195,721.253,0.26656
822.0225,0.09291,721.73512,0.25729
822.5045,0.09375,722.21725,0.24703
822.9867,0.09437,722.69937,0.23646
823.4688,0.09471,723.1815,0.22621
823.9509,0.09486,723.66362,0.21672
824.433,0.09495,724.14575,0.20804
824.9152,0.09512,724.628,0.19992
825.3973,0.09548,725.11012,0.19189
825.8794,0.09612,725.59225,0.18358
826.3616,0.09703,726.07437,0.17493
826.8437,0.09818,726.5565,0.1663
827.3258,0.09954,727.03862,0.1584
827.8079,0.10111,727.52075,0.15199
828.29,0.10289,728.003,0.14756
828.7722,0.10486,728.48512,0.14501
829.2543,0.1069,728.96725,0.1437
829.7365,0.10888,729.44937,0.14259
830.2185,0.11063,729.9315,0.14059
830.7007,0.11207,730.41362,0.13695
831.1828,0.11321,730.89575,0.13142
831.6649,0.11419,731.378,0.12428
832.147,0.11522,731.86012,0.11615
832.6292,0.11647,732.34225,0.10768
833.1113,0.11805,732.82437,0.09933
833.5934,0.11993,733.3065,0.09132
834.0756,0.122,733.78862,0.08365
834.5577,0.12409,734.27075,0.07622
