pixel,y_um,intensity,bg_mean,bg_std
532,6.2863,39991.0432,39705.563,15211.6848
533,6.2981,39798.555,39705.563,15211.6848
534,6.31,39281.2037,39705.563,15211.6848
535,6.3218,41473.3488,39705.563,15211.6848
536,6.3336,40820.0619,39705.563,15211.6848
537,6.3454,40763.7188,39705.563,15211.6848
538,6.3572,40714.0782,39705.563,15211.6848
539,6.369,40741.7262,39705.563,15211.6848
540,6.3809,39631.8297,39705.563,15211.6848
541,6.3927,40597.6218,39705.563,15211.6848
542,6.4045,40623.3847,39705.563,15211.6848
543,6.4163,39561.6626,39705.563,15211.6848
544,6.4281,41106.5949,39705.563,15211.6848
545,6.4399,39621.357,39705.563,15211.6848
546,6.4518,41489.6862,39705.563,15211.6848
547,6.4636,41045.4344,39705.563,15211.6848
548,6.4754,41132.1483,39705.563,15211.6848
549,6.4872,40569.1361,39705.563,15211.6848
550,6.499,39892.8093,39705.563,15211.6848
551,6.5108,38969.1174,39705.563,15211.6848
552,6.5227,40801.8394,39705.563,15211.6848
553,6.5345,41386.0065,39705.563,15211.6848
554,6.5463,40550.4947,39705.563,15211.6848
555,6.5581,40331.1964,39705.563,15211.6848
556,6.5699,41297.8264,39705.563,15211.6848
557,6.5817,39505.3195,39705.563,15211.6848
558,6.5936,40340.6218,39705.563,15211.6848
559,6.6054,40215.7873,39705.563,15211.6848
560,6.6172,39591.6145,39705.563,15211.6848
561,6.629,40209.7131,39705.563,15211.6848
562,6.6408,39391.1671,39705.563,15211.6848
563,6.6526,40442.4165,39705.563,15211.6848
564,6.6645,39442.4833,39705.563,15211.6848
565,6.6763,39710.3749,39705.563,15211.6848
566,6.6881,39780.1231,39705.563,15211.6848
567,6.6999,40220.1858,39705.563,15211.6848
568,6.7117,39735.9283,39705.563,15211.6848
569,6.7235,38868.37,39705.563,15211.6848
570,6.7354,40342.5069,39705.563,15211.6848
571,6.7472,39270.7311,39705.563,15211.6848
572,6.759,39945.5917,39705.563,15211.6848
573,6.7708,40319.0481,39705.563,15211.6848
574,6.7826,39643.1402,39705.563,15211.6848
575,6.7944,39878.357,39705.563,15211.6848
576,6.8063,40115.0399,39705.563,15211.6848
577,6.8181,39572.3447,39705.563,15211.6848
578,6.8299,39850.4996,39705.563,15211.6848
579,6.8417,40272.5493,39705.563,15211.6848
580,6.8535,38970.3741,39705.563,15211.6848
581,6.8653,40014.7115,39705.563,15211.6848
